id,name,mayor,postal_code,population,density_km2,coords,area_km2
663351,Fakarava (Polynésie française),Tuhoe Tekurio,,1637,16.0,"(-16.051, -145.658)",100.5
238072,Sinnamary,Michel-Ange Jérémie,,2830,2.1,"(5.377, -52.96)",1340.0
187715,Les Anses-d'Arlet,Eugène Larcher,,3752,145.0,"(14.491, -61.081)",25.92
499675,Kani-Kéli,Abdou Rachadi,,5507,267.0,"(-12.957, 45.105)",20.59
238069,Papaichton,Jules Deie,,5606,2.1,"(3.807, -54.149)",2628.0
628284,L'Ajoupa-Bouillon,Maurice Bonté,,1715,139.0,"(14.817, -61.117)",12.3
664577,Moorea-Maiao,Evans Haumani,,17816,133.0,"(-17.526, -149.818)",134.0
499693,Chiconi,Madi Ousséni Mohamadi,,8295,975.0,"(-12.83, 45.113)",8.51
672157,Nuku-Hiva,Benoît Kautai,,2951,7.6,"(-8.82, -140.213)",387.8
616690,Punaauia,Simplicio Lissant (TH),,28103,370.0,"(None, None)",76.0
664516,Napuka (Polynésie française),Mautaina Arai-Taki,,284,24.0,"(-14.201, -141.25)",12.0
215597,Mana (Guyane),Albéric Benth,,11764,1.9,"(5.67, -53.778)",6332.6
616703,Faaa,Oscar Temaru depuis,,29826,877.0,"(-17.551, -149.597)",34.0
700070,Bora-Bora (Polynésie française),Gaston Tong Sang (Tapura huiraatira),,10758,220.0,"(-16.5, -151.741)",49.0
663356,Makemo (Polynésie française),Félix Tokoragi,,1508,15.0,"(-16.599, -143.661)",100.0
189594,Le Marigot,Joseph Péraste,,3034,140.0,"(14.817, -61.033)",21.63
27526,Petit-Canal,Blaise Mornal,,8201,116.0,"(16.383, -61.483)",70.5
627352,Petit-Bourg,David Nébor,,24272,187.0,"(16.191, -61.591)",129.88
695676,Camopi,Laurent Yawalou,,2146,0.21,"(3.166, -52.341)",10030.0
769466,Farino,Régis Roustan,,712,15.0,"(-21.668, 165.765)",48.0
