infobox1_name,n_articles
,517227
Infobox Biographie2,318675
Taxobox début,149984
Infobox Localité,87894
Infobox Cinéma (film),74624
Infobox Footballeur,59513
Infobox Compétition sportive,53118
Infobox Musique (œuvre),45415
Infobox Planète mineure,45382
Infobox Monument,40351
Infobox Cinéma (personnalité),40276
Infobox Commune de France,37140
Infobox Personnalité politique,36706
Infobox Musique (artiste),30188
Infobox Artiste,24206
Infobox Ville de Pologne,24189
Infobox Société,23593
Infobox Organisation2,17728
Infobox Sportif,17708
Infobox biographie2,17280
Infobox Cycliste,16852
Infobox Jeu vidéo,16337
Infobox Édifice religieux,16288
Infobox,15704
Infobox Politicien,15223
Infobox Livre,14589
Infobox Cours d'eau,14079
Infobox Ville des États-Unis,14005
Infobox Élection,13360
Infobox Écrivain,12514
infobox biographie2,12453
Infobox Série télévisée,11712
Infobox Personnalité militaire,11613
Infobox Gare,11552
Infobox Joueur de basket-ball,11445
Infobox Art,11443
Infobox Commune d'Allemagne,10892
Infobox Île,10834
Infobox Athlète,10785
Infobox Rugbyman,10735
Infobox Personnalité du hockey sur glace,10590
Infobox Montagne,10375
Infobox Conflit militaire,10187
Infobox Prélat catholique,9646
Infobox Club de football,9410
Infobox Château,9116
Infobox Navire,8850
Infobox Objet astronomique,8598
Infobox Localité du Burkina Faso,8522
Infobox Commune d'Italie,8144
Infobox Chimie,7567
Infobox Unité militaire,7410
Infobox Commune d'Espagne,7189
Titre mis en forme,6892
Infobox Biographie,6779
Infobox Commune du Cameroun,6709
Infobox Espace public,6638
années,6399
Infobox Voie parisienne,6397
Infobox Musée,6299
Infobox Automobile,6236
Infobox Ville de Bosnie-Herzégovine,6200
Titre en italique,5834
Infobox Musique classique (personnalité),5798
Infobox Aire protégée,5773
Infobox Tournoi de tennis,5741
Infobox Université,5531
Infobox Station de métro,5509
Infobox Stade,5331
Infobox Lac,5278
Infobox Canton de France,5257
Infobox Ville du Brésil,5238
Infobox Personnage (fiction),4996
Infobox Langue,4928
Infobox Ville de République tchèque,4875
Infobox Ouvrage,4726
Infobox Ville de Serbie,4722
Infobox Saison de série télévisée,4683
infobox Biographie2,4671
Infobox Ancienne commune de France,4560
Infobox Aéroport,4528
Infobox Logiciel,4483
Infobox Municipalité du Canada,4470
Infobox Presse écrite,4308
Infobox Joueur de baseball,4296
Infobox Subdivision administrative,4284
Infobox Bande dessinée,4243
Infobox Émission de télévision,4210
Infobox Joueur de tennis,4138
Infobox Nation aux Jeux olympiques,4047
Infobox Quartier,4026
Infobox Ville,3897
Palette Années,3878
Infobox Animation et bande dessinée asiatiques/Entête,3836
Infobox Joueur de volley-ball,3827
Infobox Boxeur,3801
Infobox Ancienne entité territoriale,3739
Infobox Route,3573
Infobox Phare,3553
Infobox Intercommunalité de France,3519
Infobox Localité de Belgique,3444
Infobox Graphème,3419
Infobox Ville de Chine,3347
coord,3238
Infobox Mois,3194
Infobox Commune de Hongrie,3159
Infobox Personnalité du football américain,3122
Infobox Comté des États-Unis,3042
Infobox Saint,3029
Infobox Gratte-ciel,2984
Infobox Ville de Croatie,2972
Infobox Commune de Slovaquie,2956
Infobox Localité des Pays-Bas,2894
Infobox Pont,2891
Infobox Poste politique,2811
Infobox Organisation,2795
titre en italique,2780
Infobox modulaire/Début,2764
Infobox Mets,2728
Infobox Pilote,2699
Infobox Site archéologique,2696
Infobox Chaîne de télévision,2676
Infobox Ligne ferroviaire,2631
Infobox Famille noble,2626
Infobox Étoile,2603
Infobox Rôle monarchique,2595
Infobox Handballeur,2593
Infobox Race,2523
Infobox Gouvernement,2510
Infobox Avion militaire,2498
infobox,2369
Infobox Scientifique,2349
Infobox Maladie,2334
Infobox Réseau de transport en commun,2222
Infobox Association,2183
Infobox Commune de Suisse,2160
Infobox Commune d'Autriche,2156
Infobox Espace vert,2151
Infobox Nageur,2092
Infobox/Début,2062
Infobox Mégalithe,2006
Infobox Cimetière,1971
Infobox Gmina de Pologne,1900
Infobox Musique classique (œuvre),1871
Infobox Ville du Japon,1816
Infobox Récompense,1802
Infobox Groupe ethnique,1801
Infobox Saison de foot,1761
Infobox Jour,1760
Infobox Matériel ferroviaire/Début,1753
Infobox Circonscription électorale du Canada,1728
Infobox Équipe de hockey sur glace,1713
Infobox Course de Formule 1,1708
Infobox Ligne de transport en commun,1669
Infobox Cérémonie,1667
Infobox Norme juridique,1651
Infobox Fédération sportive,1623
Infobox Commune d'Algérie,1610
Infobox Salle de spectacle,1592
Infobox Classe navire de guerre,1588
Infobox Escrimeur,1585
Infobox conflit militaire,1579
Infobox Étendue d'eau,1556
Infobox Localité de Macédoine du Nord,1526
Infobox Nouvelle,1517
Infobox Col,1486
Infobox Club de basket-ball,1472
Infobox École,1457
Infobox Compagnie aérienne,1453
titre mis en forme,1449
Infobox Route/France,1448
Infobox Ville du Kosovo,1445
Infobox Ville de Tchéquie,1442
Infobox Municipalité de Nouvelle-Zélande,1435
Infobox Catch (personnalité),1428
Infobox Ville de Russie,1426
Infobox Architecte,1422
Infobox Ville du Royaume-Uni,1419
Infobox Site web,1384
Infobox Événement,1373
Infobox Relations bilatérales,1355
Infobox Attentat,1354
Infobox Barrage,1350
Années,1331
Infobox Biographie 2,1324
Infobox Descriptif course cycliste,1319
Infobox Revue,1315
Infobox Ville du Monténégro,1260
Infobox Musique (label),1260
Infobox Tableau Grand Chelem,1255
Infobox Accident de transport,1254
Infobox Ville de Madagascar,1254
