infobox1_name,n
Infobox Commune du Tchad,114
Infobox Baladodiffusion,16
s,2
Infobox Apskritis de Lituanie,10
Infobox Circonscription de Paris,75
Infobox Circonscription électorale d'Écosse,19
Infobox Ville d'Arabie saoudite,53
"Infobox Biographie2  
<!-- {{Infobox Artiste}} -->",1
Infobox Radical,5
Infobox Ville du Sénégal,825
Infobox Recensement,78
Infobox Monument <!--- Édifice religieux --->,4
Infobox Réacteur nucléaire,92
Infobox Élément/Thorium,1
Infobox Législature canadienne,17
Infobox GPU,35
Infobox Patrimoine mondial,796
Palette Cosmologie,5
"Infobox Organisation2
<!-- Information douteuse car c'est la déclaration pour 2020-2021
| financement =  5.5 millions [[Dollar américain|USD]] en 2022<ref>{{lien web|titre=IRS 990 Form|url=https://apps.irs.gov/pub/epostcard/cor/814576399_202012_990_2021052618206613.pdf}}</ref>
-->",1
Infobox Voiture train,13
Infobox Circonscription et région électorale du Parlement gallois,34
Infobox   Biographie2,5
"Infobox Biographie 2  
<!-- {{Infobox Personnalité militaire }} -->",1
Infobox Élément/Unquadunium,1
Infobox Archidiocèse catholique,462
Infobox Resort,21
Infobox_Mouvement religieux,1
Infobox Technique photographique,11
Infobox Législature d'Écosse,4
Infobox Salle de spectacle2,11
Titre  en  italique,2
Infobox Maison d'édition 2,202
Infobox Établissement pénitentiaire,470
Infobox  Prélat catholique,1
Infobox Isthme,16
Infobox Élément/Scandium,1
"Infobox Élections
<!-- Dernières -->",2
Infobox Cycliste,16852
,517227
infobox Biographie2,4671
Infobox Ville du Monténégro,1260
Palette Politique/Rome antique,89
Infobox Bande dessinée,4243
Infobox Personnalité du hockey sur glace,10590
Infobox Circonscription électorale,1246
Infobox Artiste,24206
Infobox Gratte-ciel,2984
Infobox Club de football,9410
Infobox Ville d'Azerbaïdjan,597
Infobox Municipalité de Colombie,1057
infobox Minéral,142
Infobox Structure militaire,693
Infobox Draft,262
Infobox Frontière,651
Infobox Norme juridique,1651
Infobox Municipalité du Venezuela,335
Infobox Périodique,519
Infobox Monnaie,432
Infobox Attentat,1354
Infobox Pilote,2699
Infobox Manifestation,329
Infobox Mois,3194
