q_created,n_articles
"",1920106
2001-Q3,6
2001-Q4,14
2002-Q1,331
2002-Q2,511
2002-Q3,1462
2002-Q4,1232
2003-Q1,3227
2003-Q2,2705
2003-Q3,2496
2003-Q4,3798
2004-Q1,6053
2004-Q2,6715
2004-Q3,8457
2004-Q4,9719
2005-Q1,13758
2005-Q2,15361
2005-Q3,28405
2005-Q4,23749
2006-Q1,18760
2006-Q2,17873
2006-Q3,18330
2006-Q4,16672
2007-Q1,15116
2007-Q2,13960
2007-Q3,12479
2007-Q4,10861
2008-Q1,10906
2008-Q2,9528
2008-Q3,9547
2008-Q4,8979
2009-Q1,9552
2009-Q2,9045
2009-Q3,7844
2009-Q4,8940
2010-Q1,8989
2010-Q2,8051
2010-Q3,9911
2010-Q4,8469
2011-Q1,7933
2011-Q2,8450
2011-Q3,8318
2011-Q4,8177
2012-Q1,8665
2012-Q2,8343
2012-Q3,8296
2012-Q4,7616
2013-Q1,7779
2013-Q2,8361
2013-Q3,6893
2013-Q4,7114
2014-Q1,7460
2014-Q2,7183
2014-Q3,6652
2014-Q4,6488
2015-Q1,7012
2015-Q2,6719
2015-Q3,6405
2015-Q4,6940
2016-Q1,6927
2016-Q2,6646
2016-Q3,6853
2016-Q4,6640
2017-Q1,6687
2017-Q2,6680
2017-Q3,7357
2017-Q4,6265
2018-Q1,6400
2018-Q2,6099
2018-Q3,6354
2018-Q4,6181
2019-Q1,6500
2019-Q2,6854
2019-Q3,6085
2019-Q4,6933
2020-Q1,7016
2020-Q2,7983
2020-Q3,5517
2020-Q4,7316
2021-Q1,6930
2021-Q2,6792
2021-Q3,6387
2021-Q4,6621
2022-Q1,8080
2022-Q2,7428
2022-Q3,7336
2022-Q4,6772
2023-Q1,7429
2023-Q2,7501
2023-Q3,8092
2023-Q4,8316
2024-Q1,10184
2024-Q2,18480
2024-Q3,24666
