genre,country,n_movies,dur_q1,dur_q3,max_duration,min_duration,avg_duration
comédie,Afghanistan,2,84,90,90,84,87.0
conte,Afghanistan,1,20,20,20,20,20.0
dramatique,Afghanistan,1,95,95,95,95,95.0
drame,Afghanistan,2,83,85,85,83,84.0
film,Afghanistan,1,112,112,112,112,112.0
comédie,Albanie,1,89,89,89,89,89.0
dramatique,Albanie,1,104,104,104,104,104.0
drame,Albanie,7,80,103,106,78,90.28571428571429
film,Albanie,1,90,90,90,90,90.0
policier,Albanie,1,91,91,91,91,91.0
action,Algérie,1,90,90,90,90,90.0
animation,Algérie,1,13,13,13,13,13.0
aventure,Algérie,1,113,113,113,113,113.0
comédie,Algérie,14,80,110,116,35,89.5
documentaire,Algérie,10,52,100,120,35,77.7
dramatique,Algérie,2,99,110,110,99,104.5
drame,Algérie,49,95,116,195,22,107.24489795918367
film,Algérie,2,100,110,110,100,105.0
guerre,Algérie,5,95,170,178,90,130.8
policier,Algérie,2,100,118,118,100,109.0
thriller,Algérie,1,98,98,98,98,98.0
unknown,Algérie,4,105,117,165,105,123.5
action,Allemagne,31,92,109,184,30,102.09677419354838
animation,Allemagne,32,80,92,111,3,81.03125
aventure,Allemagne,28,84,101,126,76,95.25
aventures,Allemagne,14,90,114,155,84,103.14285714285714
biographie,Allemagne,28,102,125,450,60,132.17857142857142
biographique,Allemagne,7,95,120,127,84,107.14285714285714
biopic,Allemagne,27,94,123,187,60,108.44444444444444
casse,Allemagne,1,86,86,86,86,86.0
catastrophe,Allemagne,1,90,90,90,90,90.0
cinéma,Allemagne,1,60,60,60,60,60.0
comique,Allemagne,1,84,84,84,84,84.0
comédie,Allemagne,470,88,100,165,24,94.02127659574468
conte,Allemagne,12,65,82,106,57,78.66666666666667
court,Allemagne,8,8,28,30,7,18.125
crime,Allemagne,2,89,118,118,89,103.5
docufiction,Allemagne,4,88,224,312,88,178.5
documentaire,Allemagne,92,81,100,553,13,95.58695652173913
drama,Allemagne,1,69,69,69,69,69.0
dramatique,Allemagne,19,95,106,126,50,98.05263157894737
drame,Allemagne,666,90,112,285,10,103.25825825825825
dystopique,Allemagne,1,124,124,124,124,124.0
espionnage,Allemagne,16,90,105,178,80,104.0
essai,Allemagne,2,60,60,60,60,60.0
expérimental,Allemagne,6,29,92,442,3,110.5
fantastique,Allemagne,22,91,113,288,79,110.68181818181819
fantasy,Allemagne,4,50,90,94,50,81.0
film,Allemagne,201,88,106,180,15,96.22388059701493
giallo,Allemagne,5,83,91,91,80,86.2
gore,Allemagne,2,72,83,83,72,77.5
guerre,Allemagne,18,94,115,149,88,107.11111111111111
heimatfilm,Allemagne,4,90,97,97,90,94.75
histoire,Allemagne,1,110,110,110,110,110.0
historique,Allemagne,19,92,115,125,73,102.10526315789474
horreur,Allemagne,38,88,102,146,44,93.42105263157895
jeunesse,Allemagne,1,60,60,60,60,60.0
juridique,Allemagne,1,99,99,99,99,99.0
kammerspiel,Allemagne,1,66,66,66,66,66.0
musical,Allemagne,33,90,103,115,15,93.81818181818181
mélodrame,Allemagne,9,88,99,106,80,93.55555555555556
pirates,Allemagne,1,107,107,107,107,107.0
policier,Allemagne,59,88,97,211,73,96.05084745762711
poliziottesco,Allemagne,2,93,94,94,93,93.5
pornographique,Allemagne,1,117,117,117,117,117.0
procès,Allemagne,1,84,84,84,84,84.0
propagande,Allemagne,9,94,101,121,85,99.55555555555556
péplum,Allemagne,4,88,100,100,88,95.5
