genre,n_movies,dur_q1,dur_q3,max_duration,min_duration,avg_duration,median_duration
[biographie,1,81,81,81,81,81.0,81.0
abstrait,1,2,2,2,2,2.0,2.0
aciton,1,90,90,90,90,90.0,90.0
action,2113,90,114,330,2,104.08187411263606,99.0
action-,1,113,113,113,113,113.0,113.0
action/thriller,1,172,172,172,172,172.0,172.0
actualités,2,15,121,121,15,68.0,68.0
adaptation,1,77,77,77,77,77.0,77.0
ados,1,82,82,82,82,82.0,82.0
allégorie,1,4,4,4,4,4.0,4.0
animation,1922,8,88,141,2,58.21800208116545,75.5
anime,4,54,110,122,54,93.75,99.5
animé,1,75,75,75,75,75.0,75.0
anti-western,4,92,108,110,92,102.0,103.0
anticipation,10,90,136,156,24,108.3,113.0
art,1,92,92,92,92,92.0,92.0
arts,30,91,112,140,31,99.7,96.5
autobiographie,2,90,97,97,90,93.5,93.5
aventure,853,86,110,485,12,100.82415005861665,96.0
aventure-comédie,1,102,102,102,102,102.0,102.0
aventures,260,92,115,361,11,107.06153846153846,100.0
ballet,1,30,30,30,30,30.0,30.0
biblique,1,44,44,44,44,44.0,44.0
biographie,238,98,125,450,10,115.71008403361344,109.0
biographique,74,105,123,336,18,116.45945945945945,114.0
biopic,432,99,124,276,43,113.94212962962963,109.5
biopoc,2,95,114,114,95,104.5,104.5
blaxploitation,5,93,94,96,90,93.4,94.0
body,3,89,140,140,89,123.0,140.0
buddy,1,75,75,75,75,75.0,75.0
burlesque,1,4,4,4,4,4.0,4.0
business-thriller,1,105,105,105,105,105.0,105.0
cannibal,1,90,90,90,90,90.0,90.0
cape,10,105,121,132,85,111.9,113.5
captation,1,89,89,89,89,89.0,89.0
cartoon,5,7,7,8,6,7.0,7.0
casse,2,86,117,117,86,101.5,101.5
catastrophe,98,97,128,180,60,117.18367346938776,115.0
chanbara,39,83,104,207,81,100.17948717948718,89.0
chansons,1,10,10,10,10,10.0,10.0
chase,1,4,4,4,4,4.0,4.0
choral,1,119,119,119,119,119.0,119.0
chorégraphie,1,2,2,2,2,2.0,2.0
chronique,6,85,174,320,81,140.0,90.0
ciné-panettone,2,96,100,100,96,98.0,98.0
cinéma,31,12,90,183,3,46.32258064516129,23.0
cinéphonie,1,5,5,5,5,5.0,5.0
clip,1,14,14,14,14,14.0,14.0
comedie,2,99,121,121,99,110.0,110.0
comique,5,84,90,95,5,72.8,90.0
complot,1,80,80,80,80,80.0,80.0
comédie,16069,85,102,408,0,89.57464683552182,94.0
comédie.,1,85,85,85,85,85.0,85.0
conte,32,52,96,122,8,71.78125,74.5
contes,1,129,129,129,129,129.0,129.0
court,393,10,22,96,2,17.0559796437659,16.0
court-métrage,11,9,18,45,6,17.727272727272727,11.0
courts,2,8,113,113,8,60.5,60.5
crime,10,84,93,118,66,89.1,88.0
criminel,1,61,61,61,61,61.0,61.0
d'action,1,105,105,105,105,105.0,105.0
d'après,1,8,8,8,8,8.0,8.0
d'aventures,1,102,102,102,102,102.0,102.0
d'épouvante,1,90,90,90,90,90.0,90.0
danse,1,126,126,126,126,126.0,126.0
dark,1,118,118,118,118,118.0,118.0
de,1,110,110,110,110,110.0,110.0
decamerotico,15,87,98,103,84,92.4,92.0
dessin,85,6,9,102,2,12.129411764705882,7.0
dessin-animé,55,7,7,8,6,6.909090909090909,7.0
direct-to-video,1,89,89,89,89,89.0,89.0
docu,4,10,90,104,10,65.0,73.0
docu-fiction,4,19,95,121,19,77.0,84.0
docudrame,4,85,106,108,85,96.25,96.0
docufiction,33,82,101,312,40,98.60606060606061,89.0
documentaire,3201,59,99,873,1,84.59387691346454,85.0
documentaire-fiction,3,25,97,97,25,56.666666666666664,48.0
documenteur,1,56,56,56,56,56.0,56.0
dram,1,111,111,111,111,111.0,111.0
drama,5,81,104,155,69,99.4,88.0
dramatique,278,90,110,450,24,103.60791366906474,96.5
drame,15222,90,111,643,2,100.62521350676653,99.0
drame/romance/guerre,1,105,105,105,105,105.0,105.0
drame},1,88,88,88,88,88.0,88.0
dystopie,2,107,109,109,107,108.0,108.0
dystopique,1,124,124,124,124,124.0,124.0
désastre,2,85,93,93,85,89.0,89.0
effets,1,2,2,2,2,2.0,2.0
emission/concert,1,75,75,75,75,75.0,75.0
enfants,2,85,90,90,85,87.5,87.5
epouvante-,3,83,88,88,83,85.33333333333333,85.0
epouvante-horreur,21,88,109,134,85,100.0952380952381,98.0
erotique,1,89,89,89,89,89.0,89.0
