country_ref,foot,n_players,avg_height
Afghanistan,,55,1.7946153846153845
Afghanistan,both,4,1.7725
Afghanistan,left,7,1.7814285714285714
Afghanistan,right,19,1.7705263157894737
Albania,,138,1.815491504854369
Albania,both,3,1.86
Albania,left,9,1.848888888888889
Albania,right,32,1.8259374999999998
Algeria,,1188,1.7888942807491195
Algeria,both,65,1.8046774193548387
Algeria,left,279,1.7867860357159773
Algeria,right,457,1.7859961446285302
Andorra,,28,1.7925000000000002
Andorra,left,1,1.8
Andorra,right,4,1.8475000000000001
Angola,,75,1.808004143126177
Angola,left,8,1.77375
Angola,right,18,1.7916666666666667
Antigua and Barbuda,,12,1.7883333333333333
Antigua and Barbuda,left,3,1.7866666666666664
Antigua and Barbuda,right,1,1.81
Argentina,,1067,1.7808720764632622
Argentina,both,10,1.7469999999999999
Argentina,left,120,1.7711414930555558
Argentina,right,306,1.7899493991144846
Armenia,,61,1.7898558507631428
Armenia,both,2,1.77
Armenia,left,4,1.81
Armenia,right,6,1.7833333333333332
Aruba,right,1,1.88
Australia,,283,1.8067060578221183
Australia,both,1,1.87
Australia,left,22,1.772272727272727
Australia,right,68,1.79906634746922
Austria,,390,1.8095421370771176
Austria,both,7,1.8485714285714285
Austria,left,37,1.7954054054054056
Austria,right,104,1.8204807692307694
Azerbaijan,,75,1.7927161290322582
Azerbaijan,left,2,1.77
Azerbaijan,right,4,1.8775
Bahamas,,2,1.705
Bahrain,,23,1.7795652173913044
Bahrain,left,1,1.81
Bahrain,right,1,1.83
Bangladesh,,3,1.7433333333333334
Barbados,,11,1.8009090909090908
Belarus,,114,1.8220175438596495
Belarus,right,13,1.8184615384615381
Belgium,,1364,1.7967287729543235
Belgium,both,3,1.71
Belgium,left,144,1.8186713286713285
Belgium,right,458,1.8158296943231438
Benin,,59,1.7914075165806929
Benin,both,2,1.755
Benin,left,4,1.8325
Benin,right,25,1.8112000000000001
Bhutan,,6,1.4716666666666667
Bhutan,right,1,1.73
Bolivia,,135,1.7566816173972137
Bolivia,both,2,1.8450000000000002
Bolivia,left,1,1.72
Bolivia,right,9,1.7544444444444447
Bosnia and Herzegovina,,110,1.8449668560606065
Bosnia and Herzegovina,both,1,1.74
Bosnia and Herzegovina,left,17,1.8329411764705883
Bosnia and Herzegovina,right,58,1.8470689655172416
Botswana,,26,1.7755961538461535
Botswana,right,2,1.795
Brazil,,1809,1.791724703760377
